transaction_id,customer_id,Age,Quantity,price_per_unit,total_amount,calculated_total_amount
480,CUST480,42,4,500.0,2000,2000.0
481,CUST481,43,4,300.0,1200,1200.0
482,CUST482,28,4,300.0,1200,1200.0
487,CUST487,44,4,500.0,2000,2000.0
488,CUST488,51,3,300.0,900,900.0
490,CUST490,34,3,50.0,150,150.0
491,CUST491,60,3,300.0,900,900.0
492,CUST492,61,4,25.0,100,100.0
493,CUST493,41,2,25.0,50,50.0
494,CUST494,42,4,50.0,200,200.0
497,CUST497,41,4,30.0,120,120.0
498,CUST498,50,4,25.0,100,100.0
499,CUST499,46,2,30.0,60,60.0
500,CUST500,60,4,25.0,100,100.0
501,CUST501,39,2,30.0,60,60.0
502,CUST502,43,3,50.0,150,150.0
503,CUST503,45,4,500.0,2000,2000.0
504,CUST504,38,3,50.0,150,150.0
506,CUST506,34,3,500.0,1500,1500.0
507,CUST507,37,3,500.0,1500,1500.0
508,CUST508,58,2,300.0,600,600.0
509,CUST509,37,3,300.0,900,900.0
510,CUST510,39,4,50.0,200,200.0
511,CUST511,45,2,50.0,100,100.0
515,CUST515,49,3,300.0,900,900.0
516,CUST516,30,4,25.0,100,100.0
517,CUST517,47,4,25.0,100,100.0
519,CUST519,36,4,30.0,120,120.0
520,CUST520,49,4,25.0,100,100.0
521,CUST521,47,4,30.0,120,120.0
522,CUST522,46,3,500.0,1500,1500.0
524,CUST524,46,4,300.0,1200,1200.0
525,CUST525,47,2,25.0,50,50.0
526,CUST526,33,2,50.0,100,100.0
527,CUST527,57,2,25.0,50,50.0
528,CUST528,36,2,30.0,60,60.0
529,CUST529,35,3,50.0,150,150.0
532,CUST532,64,4,30.0,120,120.0
534,CUST534,45,2,500.0,1000,1000.0
535,CUST535,47,3,30.0,90,90.0
536,CUST536,55,4,30.0,120,120.0
540,CUST540,46,3,300.0,900,900.0
543,CUST543,49,2,300.0,600,600.0
545,CUST545,27,2,25.0,50,50.0
546,CUST546,36,4,50.0,200,200.0
547,CUST547,63,4,500.0,2000,2000.0
548,CUST548,51,2,30.0,60,60.0
549,CUST549,50,2,50.0,100,100.0
550,CUST550,40,3,300.0,900,900.0
551,CUST551,45,3,300.0,900,900.0
552,CUST552,49,3,25.0,75,75.0
554,CUST554,46,3,50.0,150,150.0
559,CUST559,40,4,300.0,1200,1200.0
561,CUST561,64,4,500.0,2000,2000.0
562,CUST562,54,2,25.0,50,50.0
564,CUST564,50,2,50.0,100,100.0
565,CUST565,45,2,30.0,60,60.0
567,CUST567,25,3,300.0,900,900.0
569,CUST569,52,4,50.0,200,200.0
572,CUST572,31,4,500.0,2000,2000.0
573,CUST573,49,2,30.0,60,60.0
574,CUST574,63,2,25.0,50,50.0
575,CUST575,60,2,50.0,100,100.0
576,CUST576,33,3,50.0,150,150.0
578,CUST578,54,4,30.0,120,120.0
580,CUST580,31,3,500.0,1500,1500.0
581,CUST581,48,2,30.0,60,60.0
582,CUST582,35,3,300.0,900,900.0
584,CUST584,27,4,50.0,200,200.0
587,CUST587,40,4,300.0,1200,1200.0
588,CUST588,38,2,30.0,60,60.0
589,CUST589,36,2,500.0,1000,1000.0
590,CUST590,36,3,300.0,900,900.0
591,CUST591,53,4,25.0,100,100.0
592,CUST592,46,4,500.0,2000,2000.0
593,CUST593,35,2,30.0,60,60.0
598,CUST598,37,4,30.0,120,120.0
599,CUST599,28,2,50.0,100,100.0
600,CUST600,59,2,500.0,1000,1000.0
603,CUST603,40,3,30.0,90,90.0
604,CUST604,29,4,50.0,200,200.0
605,CUST605,37,2,500.0,1000,1000.0
607,CUST607,54,3,25.0,75,75.0
608,CUST608,55,3,500.0,1500,1500.0
609,CUST609,47,2,50.0,100,100.0
610,CUST610,26,2,300.0,600,600.0
611,CUST611,51,3,500.0,1500,1500.0
613,CUST613,52,3,30.0,90,90.0
614,CUST614,39,4,300.0,1200,1200.0
615,CUST615,61,4,25.0,100,100.0
616,CUST616,41,2,50.0,100,100.0
619,CUST619,47,4,25.0,100,100.0
620,CUST620,63,3,25.0,75,75.0
621,CUST621,40,2,500.0,1000,1000.0
622,CUST622,49,3,25.0,75,75.0
623,CUST623,34,3,50.0,150,150.0
624,CUST624,34,3,300.0,900,900.0
626,CUST626,26,4,500.0,2000,2000.0
629,CUST629,62,2,25.0,50,50.0
630,CUST630,42,2,50.0,100,100.0
631,CUST631,56,3,30.0,90,90.0
632,CUST632,26,4,25.0,100,100.0
633,CUST633,39,4,30.0,120,120.0
634,CUST634,60,4,500.0,2000,2000.0
635,CUST635,63,3,300.0,900,900.0
637,CUST637,43,2,300.0,600,600.0
639,CUST639,62,4,50.0,200,200.0
640,CUST640,51,4,30.0,120,120.0
642,CUST642,54,4,25.0,100,100.0
643,CUST643,28,3,30.0,90,90.0
645,CUST645,35,4,30.0,120,120.0
646,CUST646,38,3,30.0,90,90.0
647,CUST647,59,3,500.0,1500,1500.0
648,CUST648,53,4,300.0,1200,1200.0
649,CUST649,58,2,300.0,600,600.0
651,CUST651,51,3,50.0,150,150.0
652,CUST652,34,2,50.0,100,100.0
653,CUST653,54,3,25.0,75,75.0
654,CUST654,42,3,25.0,75,75.0
656,CUST656,29,3,30.0,90,90.0
660,CUST660,38,2,500.0,1000,1000.0
661,CUST661,44,4,25.0,100,100.0
662,CUST662,48,2,500.0,1000,1000.0
664,CUST664,44,4,500.0,2000,2000.0
666,CUST666,51,3,50.0,150,150.0
668,CUST668,62,3,50.0,150,150.0
671,CUST671,62,3,50.0,150,150.0
672,CUST672,34,2,50.0,100,100.0
673,CUST673,43,3,500.0,1500,1500.0
675,CUST675,45,2,30.0,60,60.0
676,CUST676,63,3,500.0,1500,1500.0
678,CUST678,60,3,300.0,900,900.0
680,CUST680,53,3,300.0,900,900.0
681,CUST681,43,2,30.0,60,60.0
682,CUST682,46,4,300.0,1200,1200.0
683,CUST683,38,2,500.0,1000,1000.0
684,CUST684,28,2,500.0,1000,1000.0
685,CUST685,57,2,25.0,50,50.0
686,CUST686,28,4,50.0,200,200.0
688,CUST688,56,4,25.0,100,100.0
689,CUST689,57,2,50.0,100,100.0
690,CUST690,52,3,300.0,900,900.0
691,CUST691,51,3,30.0,90,90.0
692,CUST692,64,2,50.0,100,100.0
693,CUST693,41,3,500.0,1500,1500.0
694,CUST694,39,2,25.0,50,50.0
696,CUST696,50,4,50.0,200,200.0
699,CUST699,37,4,30.0,120,120.0
700,CUST700,36,4,500.0,2000,2000.0
701,CUST701,52,2,30.0,60,60.0
702,CUST702,60,2,300.0,600,600.0
703,CUST703,34,2,50.0,100,100.0
704,CUST704,62,3,30.0,90,90.0
705,CUST705,60,2,25.0,50,50.0
706,CUST706,51,4,25.0,100,100.0
708,CUST708,43,3,300.0,900,900.0
710,CUST710,26,3,500.0,1500,1500.0
711,CUST711,26,3,500.0,1500,1500.0
712,CUST712,57,2,25.0,50,50.0
713,CUST713,34,3,25.0,75,75.0
715,CUST715,42,4,25.0,100,100.0
716,CUST716,60,4,300.0,1200,1200.0
718,CUST718,59,3,25.0,75,75.0
719,CUST719,42,2,30.0,60,60.0
720,CUST720,56,3,500.0,1500,1500.0
723,CUST723,54,4,50.0,200,200.0
724,CUST724,61,3,50.0,150,150.0
726,CUST726,47,4,300.0,1200,1200.0
727,CUST727,55,3,300.0,900,900.0
728,CUST728,51,3,50.0,150,150.0
729,CUST729,29,4,300.0,1200,1200.0
730,CUST730,36,2,25.0,50,50.0
731,CUST731,54,4,500.0,2000,2000.0
732,CUST732,61,2,500.0,1000,1000.0
735,CUST735,64,4,500.0,2000,2000.0
736,CUST736,29,4,25.0,100,100.0
738,CUST738,41,2,50.0,100,100.0
740,CUST740,25,4,50.0,200,200.0
742,CUST742,38,4,500.0,2000,2000.0
743,CUST743,34,4,500.0,2000,2000.0
745,CUST745,54,2,50.0,100,100.0
746,CUST746,33,3,30.0,90,90.0
748,CUST748,25,3,50.0,150,150.0
750,CUST750,35,3,25.0,75,75.0
751,CUST751,42,2,25.0,50,50.0
752,CUST752,29,2,50.0,100,100.0
754,CUST754,43,4,25.0,100,100.0
755,CUST755,58,3,25.0,75,75.0
756,CUST756,62,4,300.0,1200,1200.0
757,CUST757,43,4,300.0,1200,1200.0
758,CUST758,64,4,25.0,100,100.0
759,CUST759,49,2,50.0,100,100.0
763,CUST763,34,2,25.0,50,50.0
765,CUST765,43,4,50.0,200,200.0
766,CUST766,38,3,300.0,900,900.0
767,CUST767,39,3,25.0,75,75.0
769,CUST769,31,4,30.0,120,120.0
773,CUST773,25,4,500.0,2000,2000.0
774,CUST774,40,2,25.0,50,50.0
775,CUST775,46,4,25.0,100,100.0
776,CUST776,35,3,30.0,90,90.0
777,CUST777,48,3,50.0,150,150.0
778,CUST778,47,4,25.0,100,100.0
779,CUST779,56,2,500.0,1000,1000.0
780,CUST780,52,2,25.0,50,50.0
782,CUST782,59,3,300.0,900,900.0
785,CUST785,31,4,50.0,200,200.0
786,CUST786,48,4,25.0,100,100.0
788,CUST788,52,3,300.0,900,900.0
789,CUST789,61,4,500.0,2000,2000.0
796,CUST796,43,4,30.0,120,120.0
797,CUST797,40,3,25.0,75,75.0
799,CUST799,56,2,50.0,100,100.0
800,CUST800,32,4,300.0,1200,1200.0
803,CUST803,39,4,25.0,100,100.0
805,CUST805,30,3,500.0,1500,1500.0
806,CUST806,35,3,300.0,900,900.0
807,CUST807,50,4,50.0,200,200.0
808,CUST808,33,4,500.0,2000,2000.0
809,CUST809,62,2,50.0,100,100.0
810,CUST810,59,4,25.0,100,100.0
811,CUST811,61,2,25.0,50,50.0
813,CUST813,52,3,50.0,150,150.0
815,CUST815,51,3,25.0,75,75.0
816,CUST816,47,2,500.0,1000,1000.0
817,CUST817,30,4,50.0,200,200.0
819,CUST819,35,2,50.0,100,100.0
820,CUST820,49,4,50.0,200,200.0
822,CUST822,52,3,50.0,150,150.0
823,CUST823,56,2,50.0,100,100.0
824,CUST824,63,4,30.0,120,120.0
827,CUST827,61,3,300.0,900,900.0
828,CUST828,33,4,300.0,1200,1200.0
829,CUST829,61,3,30.0,90,90.0
830,CUST830,64,3,50.0,150,150.0
831,CUST831,27,4,25.0,100,100.0
832,CUST832,47,4,500.0,2000,2000.0
833,CUST833,42,4,50.0,200,200.0
834,CUST834,56,2,30.0,60,60.0
835,CUST835,37,4,50.0,200,200.0
838,CUST838,47,2,300.0,600,600.0
840,CUST840,62,2,25.0,50,50.0
841,CUST841,31,4,25.0,100,100.0
842,CUST842,47,2,300.0,600,600.0
844,CUST844,35,3,50.0,150,150.0
848,CUST848,63,3,25.0,75,75.0
849,CUST849,32,2,25.0,50,50.0
850,CUST850,26,2,500.0,1000,1000.0
851,CUST851,32,2,25.0,50,50.0
856,CUST856,54,4,30.0,120,120.0
857,CUST857,60,2,25.0,50,50.0
859,CUST859,56,3,500.0,1500,1500.0
860,CUST860,63,4,50.0,200,200.0
861,CUST861,41,3,30.0,90,90.0
862,CUST862,28,4,300.0,1200,1200.0
863,CUST863,30,2,25.0,50,50.0
869,CUST869,37,3,500.0,1500,1500.0
870,CUST870,46,4,30.0,120,120.0
871,CUST871,62,2,30.0,60,60.0
872,CUST872,63,3,25.0,75,75.0
873,CUST873,27,4,25.0,100,100.0
875,CUST875,51,4,500.0,2000,2000.0
876,CUST876,43,4,30.0,120,120.0
882,CUST882,64,2,25.0,50,50.0
884,CUST884,26,2,30.0,60,60.0
885,CUST885,52,4,30.0,120,120.0
886,CUST886,37,3,300.0,900,900.0
887,CUST887,59,4,25.0,100,100.0
888,CUST888,52,4,25.0,100,100.0
890,CUST890,34,2,25.0,50,50.0
891,CUST891,41,3,300.0,900,900.0
895,CUST895,55,4,30.0,120,120.0
896,CUST896,30,2,25.0,50,50.0
897,CUST897,64,2,50.0,100,100.0
898,CUST898,42,3,30.0,90,90.0
899,CUST899,26,2,300.0,600,600.0
903,CUST903,51,4,50.0,200,200.0
908,CUST908,46,4,300.0,1200,1200.0
911,CUST911,42,3,300.0,900,900.0
912,CUST912,51,3,50.0,150,150.0
913,CUST913,29,3,30.0,90,90.0
915,CUST915,26,3,30.0,90,90.0
917,CUST917,57,4,50.0,200,200.0
918,CUST918,42,3,30.0,90,90.0
920,CUST920,28,3,25.0,75,75.0
921,CUST921,51,3,25.0,75,75.0
923,CUST923,32,3,300.0,900,900.0
924,CUST924,55,2,50.0,100,100.0
927,CUST927,43,4,500.0,2000,2000.0
928,CUST928,35,4,300.0,1200,1200.0
930,CUST930,54,4,50.0,200,200.0
931,CUST931,30,4,30.0,120,120.0
932,CUST932,45,4,25.0,100,100.0
936,CUST936,57,4,50.0,200,200.0
938,CUST938,49,4,50.0,200,200.0
941,CUST941,57,2,25.0,50,50.0
942,CUST942,51,3,500.0,1500,1500.0
943,CUST943,57,4,300.0,1200,1200.0
944,CUST944,44,2,25.0,50,50.0
946,CUST946,62,4,500.0,2000,2000.0
949,CUST949,41,2,25.0,50,50.0
950,CUST950,36,3,300.0,900,900.0
951,CUST951,33,2,50.0,100,100.0
953,CUST953,45,3,30.0,90,90.0
954,CUST954,50,3,300.0,900,900.0
956,CUST956,30,3,500.0,1500,1500.0
957,CUST957,60,4,30.0,120,120.0
958,CUST958,62,2,25.0,50,50.0
959,CUST959,42,2,30.0,60,60.0
960,CUST960,59,2,30.0,60,60.0
961,CUST961,53,4,50.0,200,200.0
962,CUST962,44,2,30.0,60,60.0
966,CUST966,60,2,500.0,1000,1000.0
968,CUST968,48,3,300.0,900,900.0
969,CUST969,40,3,300.0,900,900.0
970,CUST970,59,4,500.0,2000,2000.0
971,CUST971,27,4,50.0,200,200.0
972,CUST972,49,4,25.0,100,100.0
975,CUST975,56,4,50.0,200,200.0
976,CUST976,48,2,300.0,600,600.0
977,CUST977,35,3,25.0,75,75.0
978,CUST978,53,3,50.0,150,150.0
980,CUST980,31,3,25.0,75,75.0
981,CUST981,30,2,30.0,60,60.0
982,CUST982,46,3,30.0,90,90.0
986,CUST986,49,2,500.0,1000,1000.0
987,CUST987,30,3,300.0,900,900.0
988,CUST988,63,3,25.0,75,75.0
990,CUST990,58,2,500.0,1000,1000.0
991,CUST991,34,2,50.0,100,100.0
992,CUST992,57,2,30.0,60,60.0
993,CUST993,48,3,50.0,150,150.0
994,CUST994,51,2,500.0,1000,1000.0
997,CUST997,52,3,30.0,90,90.0
999,CUST999,36,3,50.0,150,150.0
1000,CUST1000,47,4,30.0,120,120.0
