order_id,customer_id,order_date,status,region_code
O000045,C00006,2024-07-26 16:53:15,RETURNED,North
O000046,,2024-10-05 17:11:56,DELIVERED,West
O000047,C00371,2025-07-30 13:24:34,RETURNED,East
O000048,C00268,2026-06-02 16:13:56,DELIVERED,East
O000049,C00697,2026-01-07 20:33:06,RETURNED,West
O000050,C00184,2025-01-05 11:54:48,DELIVERED,East
O000051,C00592,2025-06-03 01:28:53,SHIPPED,North
O000052,C00766,2025-11-21 04:32:06,SHIPPED,North
O000053,C00220,2026-04-04 08:31:02,RETURNED,North
O000054,C00165,2025-07-19 01:53:45,PLACED,South
O000055,C00483,2025-11-02 05:28:42,PLACED,East
O000056,C00228,2024-07-10 05:31:43,CANCELLED,West
O000057,C00629,2025-10-17 01:03:53,RETURNED,North
O000058,C00969,2026-05-27 00:16:14,CANCELLED,West
O000059,C00011,2025-02-28 07:02:18,RETURNED,East
O000060,,2025-10-13 21:45:00,RETURNED,South
O000061,C00630,2026-04-06 23:18:18,SHIPPED,North
O000062,C01000,2026-06-16 05:11:24,CANCELLED,East
O000063,C00686,2025-12-27 10:35:30,RETURNED,North
O000064,C00755,2025-11-15 03:48:14,RETURNED,East
O000065,C00744,2024-12-25 13:18:32,DELIVERED,East
O000066,C00987,2025-06-26 21:19:33,SHIPPED,West
O000067,C00953,29-12-2025 22:03:06,SHIPPED,West
O000068,C00519,2026-02-07 22:00:11,DELIVERED,East
O000069,C00970,2025-03-19 09:29:40,DELIVERED,East
O000070,C00711,2026-05-24 22:15:14,CANCELLED,South
O000071,C00776,2026-05-26 16:12:15,CANCELLED,North
O000072,C00494,2025-06-20 17:48:42,SHIPPED,South
O000073,C00820,2025-10-31 20:21:15,RETURNED,North
O000074,C00718,2025-11-30 21:57:51,PLACED,West
O000075,C00690,2024-09-19 07:48:44,RETURNED,South
O000076,C00488,2025-04-15 01:49:33,RETURNED,East
O000077,C00188,2025-09-24 11:21:02,SHIPPED,West
O000078,C00755,2025-12-10 00:05:44,DELIVERED,South
O000079,C00235,2026-04-04 08:36:59,RETURNED,East
O000080,C00160,2026-04-09 00:23:05,PLACED,West
O000081,,2026-02-01 06:29:37,PLACED,West
O000082,C00381,2025-12-13 10:54:31,RETURNED,East
O000083,C00503,2024-07-31 03:13:19,RETURNED,East
O000084,C00408,2025-07-06 16:03:14,PLACED,West
O000085,C00490,2024-09-09 13:29:20,DELIVERED,West
O000086,C00882,2026-03-07 23:06:12,PLACED,West
O000087,C00324,05-07-2026 17:24:26,SHIPPED,West
O000088,C00595,2026-06-29 02:07:52,DELIVERED,South
O000089,C00562,2025-06-13 22:26:15,RETURNED,East
O000090,C00375,2026-04-23 18:04:32,CANCELLED,East
O000091,C00374,2026-06-05 14:10:13,SHIPPED,South
O000092,C00590,2025-06-25 03:49:05,DELIVERED,South
O000093,C00569,2025-08-06 21:24:03,SHIPPED,South
O000094,C00485,2025-01-01 17:04:16,CANCELLED,South
O000095,C00915,2024-11-09 10:37:14,DELIVERED,West
O000096,C00308,2026-05-28 16:06:18,PLACED,West
O000097,C00102,2025-12-01 05:08:22,DELIVERED,West
O000098,C00860,2024-09-22 23:42:52,DELIVERED,East
O000099,C00370,2026-07-03 13:48:26,DELIVERED,East
O000100,C00021,2024-07-29 06:58:23,RETURNED,South
O000101,C00591,2026-05-17 13:30:49,SHIPPED,East
O000102,C00364,2025-03-03 10:43:33,CANCELLED,North
O000103,C00391,2025-04-14 01:49:48,SHIPPED,South
O000104,C00656,2025-01-28 17:46:12,RETURNED,West
O000105,C00870,2025-12-15 06:54:05,DELIVERED,South
O000106,C00322,2025-11-06 09:28:58,DELIVERED,West
O000107,C00278,2026-06-02 23:58:48,DELIVERED,West
O000108,C00424,2025-11-09 19:19:49,SHIPPED,South
O000109,C00678,2025-11-06 01:28:59,PLACED,South
O000110,C00171,2026-05-12 23:38:19,CANCELLED,North
O000111,C00027,2025-10-13 17:44:00,PLACED,North
O000112,C00269,2025-07-02 07:27:21,CANCELLED,East
O000113,C00235,2026-02-09 01:42:15,SHIPPED,South
O000114,C00540,08-03-2025 01:10:49,DELIVERED,East
O000115,C00885,2024-12-18 10:20:02,RETURNED,East
O000116,C00562,2025-09-01 16:20:13,RETURNED,South
O000117,C00606,2026-05-13 19:07:18,RETURNED,West
O000118,C00537,2024-08-24 04:22:55,DELIVERED,West
O000119,C00553,2025-03-15 15:56:25,DELIVERED,East
O000120,C00423,2026-05-03 19:17:02,PLACED,South
O000121,C00353,2026-01-01 16:01:33,CANCELLED,West
O000122,,2025-12-19 13:30:54,DELIVERED,South
O000123,,2025-10-28 14:52:34,CANCELLED,West
O000124,C00405,2026-02-01 10:20:58,CANCELLED,West
O000125,C00226,2026-06-13 18:28:00,SHIPPED,East
O000126,C00292,2025-05-23 03:16:59,DELIVERED,West
O000127,C00193,2024-12-25 09:57:24,DELIVERED,North
O000128,C00653,2025-01-13 04:58:53,RETURNED,West
O000129,C00193,2025-02-05 11:55:52,RETURNED,North
O000130,C00191,2024-09-27 07:22:32,SHIPPED,West
O000131,,2025-03-13 11:33:27,PLACED,West
O000132,C00223,2025-09-13 12:50:43,CANCELLED,East
O000133,C00475,2024-11-22 09:20:16,PLACED,South
O000134,C00058,2026-05-27 01:29:50,RETURNED,West
O000135,C00186,2025-08-30 09:24:33,CANCELLED,North
O000136,C00125,2024-10-09 00:29:33,CANCELLED,West
O000137,C00254,2025-02-21 20:33:48,CANCELLED,North
O000138,C00534,2025-04-11 16:04:08,CANCELLED,East
O000139,C00959,2025-12-28 05:57:41,PLACED,North
O000140,C00260,2025-02-19 23:26:53,DELIVERED,North
O000141,C00885,2025-09-11 23:18:56,SHIPPED,West
O000142,,2024-11-23 15:09:52,RETURNED,North
O000143,C00406,17-04-2025 11:27:06,PLACED,West
O000144,C00705,2025-05-13 10:44:58,PLACED,South
O000145,C00162,2026-01-22 08:23:50,DELIVERED,North
O000146,C00062,2026-02-10 12:22:33,RETURNED,North
O000147,C00129,2026-05-21 03:47:54,RETURNED,East
O000148,C00825,2024-10-08 05:01:51,PLACED,West
O000149,C00367,2025-11-04 19:05:26,PLACED,West
O000150,C00724,2025-09-12 11:52:18,CANCELLED,South
O000151,C00581,2024-09-23 19:17:02,CANCELLED,East
O000152,C00889,2024-07-14 15:45:34,RETURNED,South
O000153,C00071,2026-03-22 13:52:21,DELIVERED,East
O000154,,2025-02-23 17:20:15,CANCELLED,South
O000155,,2026-02-24 02:59:06,RETURNED,South
O000156,C00329,2025-02-09 18:26:19,RETURNED,West
O000157,C00195,2024-12-14 20:23:41,RETURNED,South
O000158,C00628,2025-11-16 15:46:11,DELIVERED,North
O000159,C00099,2024-10-23 15:15:41,SHIPPED,South
O000160,,2025-01-30 22:58:40,SHIPPED,North
O000161,C00033,2026-01-04 15:46:01,CANCELLED,East
O000162,C00051,2026-03-20 05:09:57,PLACED,North
O000163,C00953,2026-03-04 14:24:32,PLACED,West
O000164,C00821,2024-08-02 00:46:15,CANCELLED,East
O000165,C00814,2025-02-26 19:12:01,DELIVERED,North
O000166,C00752,2025-07-09 22:07:14,SHIPPED,North
O000167,C00104,2025-11-22 22:52:31,SHIPPED,South
O000168,C00539,2025-01-23 16:42:34,SHIPPED,West
O000169,C00765,2026-03-19 03:36:05,DELIVERED,West
O000170,C00720,2025-08-31 05:16:17,SHIPPED,South
O000171,C00564,2025-10-11 22:24:40,SHIPPED,West
O000172,C00956,2024-12-12 12:18:30,DELIVERED,East
O000173,C00423,2025-02-05 21:01:23,DELIVERED,South
O000174,C00577,2026-06-13 22:48:34,RETURNED,East
O000175,C00369,2024-08-19 21:44:41,CANCELLED,North
O000176,,2026-02-19 18:53:12,PLACED,South
O000177,C00912,2024-10-27 11:46:23,SHIPPED,South
O000178,C00877,2025-12-13 12:40:25,DELIVERED,South
O000179,,2026-03-19 10:37:33,SHIPPED,East
O000180,C00376,2026-05-21 12:42:00,DELIVERED,East
O000181,C00095,2024-12-19 08:31:13,SHIPPED,North
O000182,C00741,2025-12-27 09:03:30,CANCELLED,North
O000183,C00610,2026-05-13 07:01:52,RETURNED,West
O000184,C00081,2026-01-25 19:48:34,DELIVERED,East
O000185,C00901,2026-03-25 19:18:19,PLACED,South
O000186,C00766,2025-12-21 07:01:08,PLACED,West
O000187,C00056,2025-02-11 10:22:46,RETURNED,South
O000188,C00335,2026-02-23 07:04:22,PLACED,West
O000189,C00995,2026-05-05 10:00:55,RETURNED,North
O000190,C00228,2024-11-01 05:34:12,SHIPPED,South
O000191,C00345,2024-07-23 16:45:08,PLACED,West
O000192,C00269,2025-04-20 12:01:59,SHIPPED,South
O000193,C00493,2025-05-12 12:38:30,RETURNED,South
O000194,C00575,2025-06-18 18:28:17,SHIPPED,South
O000195,C00074,2025-03-19 09:01:29,RETURNED,North
O000196,C00116,2025-04-19 19:51:14,DELIVERED,South
O000197,C00329,2024-08-29 09:50:27,DELIVERED,South
O000198,C00359,2025-12-20 19:47:01,CANCELLED,South
O000199,,2025-01-30 04:56:32,SHIPPED,East
O000200,C00160,2026-05-13 05:22:55,PLACED,North
O000201,C00249,2025-12-02 02:10:17,DELIVERED,North
O000202,C00352,2025-08-12 06:07:10,CANCELLED,West
O000203,C00024,2024-09-17 00:49:50,SHIPPED,South
O000204,C00560,2025-03-01 04:41:24,CANCELLED,South
O000205,C00712,05-02-2026 22:58:03,RETURNED,North
O000206,C00262,2026-04-01 10:25:57,RETURNED,East
O000207,C00055,2024-08-16 11:32:04,PLACED,West
O000208,C00677,2026-05-21 15:11:55,DELIVERED,North
O000209,C00020,2025-02-15 01:33:01,CANCELLED,South
O000210,C00390,2025-10-29 03:23:58,DELIVERED,West
O000211,C00888,2025-09-02 13:07:02,SHIPPED,West
O000212,C00575,26-05-2025 17:33:52,SHIPPED,East
O000213,C00342,2025-06-25 08:36:26,PLACED,East
O000214,C00701,2026-04-24 08:16:03,SHIPPED,East
O000215,C00832,2024-12-08 04:11:37,CANCELLED,North
O000216,C00967,2026-02-15 12:17:49,SHIPPED,East
O000217,C00919,2024-11-27 20:48:05,CANCELLED,South
O000218,C00428,2025-10-26 15:51:45,DELIVERED,East
O000219,C00460,2025-03-29 13:02:21,SHIPPED,South
O000220,C00884,2026-03-25 08:07:44,RETURNED,South
O000221,C00441,2024-09-20 09:58:17,SHIPPED,South
O000222,C00326,2026-02-01 17:40:00,PLACED,South
O000223,C00326,2026-03-27 00:16:00,PLACED,East
O000224,C00902,2025-04-09 00:15:58,DELIVERED,West
O000225,C00764,2026-06-25 18:54:18,DELIVERED,South
O000226,C00798,2025-11-16 06:22:44,PLACED,East
O000227,C00621,2024-11-07 19:52:27,SHIPPED,South
O000228,,2024-08-18 02:14:52,CANCELLED,South
O000229,C00515,2025-03-24 16:35:46,DELIVERED,South
O000230,C00873,2025-06-19 02:25:59,SHIPPED,South
O000231,,2026-05-29 07:03:54,PLACED,East
O000232,C00974,2024-10-01 15:56:21,SHIPPED,South
O000233,C00068,2025-07-19 11:01:58,CANCELLED,West
O000234,C00705,2025-03-12 04:50:30,SHIPPED,West
O000235,C00415,2025-05-20 20:13:12,CANCELLED,East
O000236,C00404,2024-10-24 11:17:57,RETURNED,North
O000237,C00534,2025-12-17 18:04:40,PLACED,South
O000238,C00532,2025-01-02 21:54:38,PLACED,West
O000239,C00529,2024-10-02 17:27:35,SHIPPED,East
O000240,C00451,2025-04-23 16:27:25,DELIVERED,West
O000241,C00171,2025-02-14 01:16:47,PLACED,South
O000242,C00475,2025-09-16 10:10:57,RETURNED,North
O000243,C00185,2024-11-10 22:37:48,RETURNED,South
O000244,C00403,2026-01-03 07:09:49,SHIPPED,West
O000245,C00605,2026-01-25 16:29:50,CANCELLED,North
O000246,C00257,2026-07-01 23:16:53,SHIPPED,North
O000247,C00094,2025-11-09 21:41:26,DELIVERED,North
O000248,C00537,2024-09-11 09:41:25,RETURNED,South
O000249,C00388,2025-06-11 15:34:36,SHIPPED,East
O000250,C00580,2026-02-25 14:52:31,SHIPPED,South
O000251,C00184,2025-04-13 01:28:50,DELIVERED,East
O000252,C00748,2025-10-12 20:26:18,SHIPPED,North
O000253,C00921,2025-05-29 02:16:15,RETURNED,East
O000254,C00013,2024-07-16 10:04:43,RETURNED,North
O000255,C00623,2024-10-01 03:19:49,RETURNED,West
O000256,C00465,2024-10-05 02:25:12,RETURNED,North
O000257,C00251,2025-10-19 11:33:04,RETURNED,South
O000258,C00051,2026-05-02 13:40:44,DELIVERED,North
O000259,C00149,2024-12-19 06:07:26,RETURNED,East
O000260,C00340,2025-09-09 15:03:07,CANCELLED,South
O000261,C00166,2026-06-29 04:24:19,RETURNED,South
O000262,C00990,2025-06-23 05:00:21,PLACED,North
O000263,C00787,2025-11-26 16:44:22,CANCELLED,North
O000264,C00777,2024-09-15 00:19:58,DELIVERED,West
O000265,C00138,2025-09-14 00:44:27,DELIVERED,West
O000266,C00538,2025-04-14 10:04:16,PLACED,North
O000267,C00586,2026-07-08 09:23:15,PLACED,West
O000268,C00742,2025-12-03 06:43:05,DELIVERED,West
O000269,C00624,2025-02-10 21:26:01,RETURNED,East
O000270,C00950,2024-10-07 10:15:21,RETURNED,West
O000271,C00505,2025-03-02 12:25:44,SHIPPED,East
O000272,,11-12-2025 08:06:40,PLACED,South
O000273,C00819,2026-03-29 18:31:52,PLACED,East
O000274,C00359,2025-08-04 14:03:24,PLACED,South
O000275,C00707,2025-04-30 00:43:51,DELIVERED,East
O000276,C00519,2025-12-01 19:44:29,PLACED,East
O000277,C00350,2025-04-21 14:31:22,PLACED,South
O000278,C00199,2026-02-25 02:02:13,CANCELLED,West
O000279,,2026-01-31 06:10:14,SHIPPED,West
O000280,C00914,2025-07-30 03:54:47,CANCELLED,West
O000281,C00951,2024-08-23 15:29:24,DELIVERED,East
O000282,C00569,2026-03-11 11:04:35,DELIVERED,East
O000283,C00068,2025-08-05 15:50:26,PLACED,East
O000284,C00385,2026-02-26 01:57:48,RETURNED,West
O000285,C00192,2025-10-26 23:58:26,DELIVERED,East
O000286,,2026-01-09 08:48:54,CANCELLED,South
O000287,C00381,2024-12-06 11:49:33,SHIPPED,East
O000288,C00180,2025-11-01 00:37:15,SHIPPED,North
O000289,C00455,2024-10-01 15:34:30,RETURNED,South
O000290,C00195,2026-03-29 14:54:05,RETURNED,East
O000291,C00795,2025-11-27 18:51:43,PLACED,South
O000292,C00211,2024-07-11 20:00:31,RETURNED,North
O000293,C00005,2025-05-30 15:20:34,RETURNED,North
O000294,C00342,2025-02-22 12:45:32,RETURNED,East
O000295,C00024,2024-08-05 12:54:35,SHIPPED,East
O000296,C00206,2025-09-01 00:42:55,DELIVERED,West
O000297,C00688,2025-10-27 16:27:02,DELIVERED,North
O000298,C00016,2024-09-10 02:18:18,PLACED,South
O000299,C00556,2025-01-11 12:04:20,SHIPPED,East
O000300,C00588,2026-01-09 01:06:37,RETURNED,East
O000301,C00554,2024-09-07 18:01:06,CANCELLED,North
O000302,C00109,2024-10-07 01:09:05,CANCELLED,South
O000303,C00722,2025-02-11 01:11:44,CANCELLED,East
O000304,C00320,2026-06-13 18:57:38,RETURNED,North
O000305,C00998,2024-11-10 07:08:08,RETURNED,South
O000306,C00096,2026-06-21 16:46:24,CANCELLED,North
O000307,C00467,2025-10-31 17:12:17,CANCELLED,West
O000308,C00238,2025-01-05 08:23:50,RETURNED,East
O000309,C00935,2024-08-10 16:02:08,DELIVERED,East
O000310,C00465,2026-05-29 19:53:15,PLACED,East
O000311,C00491,2026-04-29 18:01:33,DELIVERED,South
O000312,C00521,2025-02-07 06:21:47,PLACED,East
O000313,C00570,2025-08-02 02:17:51,RETURNED,West
O000314,C00411,2024-10-18 02:32:32,SHIPPED,South
O000315,C00998,2025-07-01 04:52:44,SHIPPED,West
O000316,C00804,2025-02-21 12:54:55,DELIVERED,South
O000317,C00178,2026-05-04 06:05:02,RETURNED,West
O000318,C00118,2026-07-06 02:02:24,RETURNED,North
O000319,C00842,2025-09-23 17:47:22,CANCELLED,North
O000320,C00613,2025-07-15 22:05:44,CANCELLED,East
O000321,C00507,2025-11-22 11:08:05,SHIPPED,South
O000322,C00909,2025-11-03 23:21:14,PLACED,South
O000323,C00677,2024-08-09 14:57:11,CANCELLED,West
O000324,C00201,2024-08-03 18:40:22,DELIVERED,East
O000325,C00941,2024-10-19 10:18:52,DELIVERED,North
O000326,,2026-03-25 07:08:42,CANCELLED,South
O000327,C00873,2024-12-12 03:40:50,RETURNED,North
O000328,C00001,2024-10-13 23:32:28,DELIVERED,North
O000329,C00882,2025-08-15 05:18:29,CANCELLED,West
O000330,C00641,2025-09-13 05:31:43,CANCELLED,West
O000331,C00559,2025-01-26 13:50:21,SHIPPED,South
O000332,C00569,2025-12-22 12:58:45,CANCELLED,South
O000333,C00296,2025-05-12 05:14:07,SHIPPED,North
O000334,C00074,2025-08-13 14:21:09,CANCELLED,West
O000335,C00999,2025-01-14 08:41:24,CANCELLED,West
O000336,C00916,2025-10-25 14:06:28,CANCELLED,South
O000337,C00466,2024-11-04 05:54:27,CANCELLED,West
O000338,C00364,2025-06-06 02:13:54,PLACED,West
O000339,C00868,2026-05-29 01:24:27,DELIVERED,West
O000340,C00949,2025-11-14 03:11:38,PLACED,West
O000341,C00722,2026-05-25 17:47:38,PLACED,South
O000342,C00748,2024-10-20 13:57:18,DELIVERED,West
O000343,C00530,2024-12-03 18:56:38,PLACED,South
O000344,C00484,2025-10-10 19:57:30,PLACED,East
O000345,C00628,2025-01-20 17:39:24,PLACED,West
O000346,C00465,2025-10-13 10:13:26,DELIVERED,West
O000347,C00362,2025-10-22 12:30:56,DELIVERED,South
O000348,C00037,2025-12-11 19:58:37,DELIVERED,East
O000349,C00063,2025-08-23 16:10:28,RETURNED,North
O000350,C00673,2025-10-24 03:04:58,RETURNED,North
O000351,C00294,2025-07-16 12:46:16,PLACED,East
O000352,C00259,2024-11-04 18:35:42,DELIVERED,North
O000353,C00760,2026-02-28 02:00:11,RETURNED,South
O000354,C00675,2025-02-24 00:56:54,DELIVERED,South
O000355,C00497,2026-02-03 09:43:22,PLACED,East
O000356,C00087,2025-04-10 18:05:54,SHIPPED,West
O000357,C00771,2026-06-12 03:21:59,SHIPPED,West
O000358,C00744,2025-01-04 17:40:53,DELIVERED,North
O000359,C00658,2025-01-21 06:22:36,PLACED,South
O000360,C00476,2025-07-31 04:09:02,RETURNED,South
O000361,C00389,2025-11-19 13:52:00,DELIVERED,South
O000362,C00544,01-05-2025 02:09:52,CANCELLED,West
O000363,C00695,2025-03-05 12:48:30,PLACED,North
O000364,C00940,2024-09-10 22:31:23,CANCELLED,East
O000365,C00344,2026-05-03 03:07:28,DELIVERED,West
O000366,C00473,2026-01-27 07:26:14,RETURNED,South
O000367,C00533,2024-10-22 20:03:06,SHIPPED,East
O000368,,10-02-2026 22:31:50,PLACED,North
O000369,C00422,2025-01-23 20:06:53,CANCELLED,East
O000370,C00225,2024-09-17 11:49:41,PLACED,North
O000371,C00635,2026-06-23 10:32:07,SHIPPED,North
O000372,C00726,2024-12-17 06:37:22,RETURNED,South
O000373,C00385,2026-06-03 04:52:15,RETURNED,South
O000374,C00918,2026-01-30 17:10:51,DELIVERED,West
O000375,C00677,2024-10-06 03:52:29,DELIVERED,West
O000376,C00709,2025-07-27 12:35:22,DELIVERED,East
O000377,C00166,2026-04-08 11:43:32,PLACED,West
O000378,C00398,2025-09-11 01:42:14,DELIVERED,South
O000379,C00452,2026-02-17 07:04:08,SHIPPED,West
O000380,C00183,2024-09-15 17:38:31,RETURNED,West
O000381,C00224,2025-03-19 19:25:18,CANCELLED,East
O000382,,2025-08-29 21:28:17,DELIVERED,West
O000383,C00020,2025-01-29 22:30:07,PLACED,North
O000384,C00681,2025-01-21 22:39:31,DELIVERED,West
O000385,,2024-09-18 07:27:03,CANCELLED,West
O000386,C00447,2024-08-11 23:32:24,PLACED,South
O000387,C00004,2025-02-25 05:37:51,CANCELLED,North
O000388,C00581,2026-01-08 04:08:45,DELIVERED,East
O000389,C00411,2024-11-16 22:08:02,PLACED,East
O000390,C00548,2026-02-16 18:33:57,CANCELLED,East
O000391,C00664,2025-11-15 01:44:36,CANCELLED,South
O000392,C00307,2026-02-04 02:36:41,DELIVERED,West
O000393,C00087,2025-08-14 22:18:51,SHIPPED,South
O000394,C00037,2026-04-13 05:50:31,RETURNED,South
O000395,C00501,2025-04-28 01:45:34,DELIVERED,West
O000396,C00547,2025-09-13 14:46:03,PLACED,North
O000397,C00348,2025-01-13 04:24:16,PLACED,West
O000398,C00122,2025-11-21 12:50:07,RETURNED,West
O000399,C00963,2025-12-10 22:32:53,SHIPPED,South
O000400,C00948,2025-10-31 06:44:54,CANCELLED,North
O000401,C00483,2024-10-20 03:53:43,SHIPPED,South
O000402,C00015,2025-08-26 12:52:26,DELIVERED,North
O000403,C00468,2025-01-19 06:04:17,PLACED,North
O000404,C00117,2026-05-09 20:20:55,SHIPPED,North
O000405,C00824,2025-10-17 20:42:15,CANCELLED,East
O000406,C00124,2025-04-04 07:58:30,SHIPPED,East
O000407,C00857,2026-01-26 21:55:16,PLACED,South
O000408,C00344,2025-11-15 08:48:52,CANCELLED,South
O000409,C00714,2025-05-09 11:07:10,SHIPPED,North
O000410,C00137,2025-06-07 08:21:56,RETURNED,West
O000411,C00797,2025-05-24 14:18:25,PLACED,North
O000412,C00008,2025-03-23 12:51:13,RETURNED,East
O000413,C00427,2025-06-15 07:05:42,CANCELLED,South
O000414,C00212,2025-02-02 11:03:19,CANCELLED,West
O000415,C00245,2026-06-03 19:28:58,PLACED,South
O000416,C00735,2025-07-23 05:29:11,DELIVERED,East
O000417,,2025-12-14 18:29:09,PLACED,North
O000418,C00634,2026-05-13 18:29:55,RETURNED,South
O000419,C00476,2024-12-22 01:15:11,DELIVERED,North
O000420,C00199,2025-10-15 06:19:22,CANCELLED,West
O000421,C00181,2024-09-09 10:54:04,PLACED,East
O000422,C00292,2025-02-16 05:22:53,RETURNED,West
O000423,C00045,2026-01-21 20:04:53,RETURNED,South
O000424,C00162,2026-03-17 09:06:40,PLACED,North
O000425,C00917,2025-10-14 13:31:03,RETURNED,East
O000426,C00430,2024-09-01 23:13:09,DELIVERED,South
O000427,C00798,2024-12-30 06:52:47,SHIPPED,West
O000428,C00891,2024-09-14 08:12:37,PLACED,West
O000429,C00600,2025-09-01 04:50:49,SHIPPED,South
O000430,C00951,2024-09-07 17:34:35,DELIVERED,South
O000431,C00469,2025-02-01 18:04:15,DELIVERED,South
O000432,C00344,2026-05-17 23:46:44,PLACED,East
O000433,C00140,2026-02-18 10:13:15,CANCELLED,South
O000434,C00779,2024-07-15 18:09:53,RETURNED,South
O000435,C00809,2026-05-31 17:30:22,SHIPPED,South
O000436,C00089,2025-11-14 12:05:22,SHIPPED,West
O000437,C00858,20-05-2026 01:47:10,CANCELLED,South
O000438,C00254,2024-10-15 14:28:03,RETURNED,South
O000439,C00936,06-07-2025 13:57:09,PLACED,North
O000440,C00482,2025-11-20 09:53:54,CANCELLED,West
O000441,C00491,2025-11-14 07:33:02,PLACED,West
O000442,C00508,2025-07-31 20:36:57,PLACED,West
O000443,C00973,2024-10-07 00:42:13,SHIPPED,North
O000444,C00017,2024-07-18 02:21:48,CANCELLED,North
O000445,C01000,2024-11-23 20:53:07,CANCELLED,South
O000446,C00809,2026-03-07 06:19:52,PLACED,North
O000447,C00395,2024-07-13 06:28:48,PLACED,East
O000448,C00437,2025-05-14 09:11:49,RETURNED,South
O000449,C00807,2025-08-02 06:11:49,DELIVERED,North
O000450,C00528,2025-03-17 00:06:29,PLACED,North
O000451,C00393,2026-07-04 04:53:33,DELIVERED,East
O000452,C00180,2025-11-02 22:03:28,RETURNED,South
O000453,C00142,2026-05-11 07:42:55,PLACED,West
O000454,C00756,2026-07-07 19:36:11,SHIPPED,South
O000455,C00329,2026-05-29 04:55:46,CANCELLED,East
O000456,C00056,2025-11-19 15:35:59,CANCELLED,North
O000457,C00482,2024-08-07 21:14:08,RETURNED,East
O000458,C00463,2025-05-31 16:13:23,PLACED,South
O000459,C00914,2024-11-08 01:17:56,CANCELLED,South
O000460,C00296,2026-05-18 10:14:02,SHIPPED,East
O000461,C00115,2026-01-16 19:40:33,SHIPPED,North
O000462,C00301,2026-04-29 03:38:03,SHIPPED,West
O000463,C00356,2024-11-12 15:25:45,PLACED,East
O000464,C00194,2025-04-02 01:37:54,SHIPPED,East
O000465,C00422,2024-10-13 07:57:07,DELIVERED,West
O000466,C00608,2025-03-23 00:24:30,RETURNED,West
O000467,C00469,2024-08-14 03:08:25,DELIVERED,South
O000468,C00809,2025-07-04 21:40:36,DELIVERED,North
O000469,C00152,2024-11-09 11:30:49,SHIPPED,South
O000470,C00729,2026-06-16 07:29:01,SHIPPED,South
O000471,C00166,2025-03-11 19:35:55,DELIVERED,South
O000472,C00452,2025-11-15 23:40:49,RETURNED,North
O000473,C00682,2026-03-07 12:05:56,DELIVERED,West
O000474,C00553,2026-03-21 10:05:08,PLACED,North
O000475,C00415,2026-03-26 13:19:00,CANCELLED,East
O000476,,2025-02-04 19:56:47,RETURNED,East
O000477,C00663,2025-06-25 20:34:51,DELIVERED,South
