product_id,product_name,category,subcategory,cost_price
P0072,Indicate Education,Books,Education,193.05
P0073,Wrong Furniture,Home,Furniture,408.66
P0074,Later Women,Clothing,Women,473.9
P0075,Camera Women,Clothing,Women,482.46
P0076,Each Furniture,Home,Furniture,318.29
P0077,Different Women,Clothing,Women,409.16
P0078,Born Education,Books,Education,284.11
P0079,Heavy Kids,Clothing,Kids,18.32
P0080,Game Comics,Books,Comics,399.85
P0081,Consumer Laptop,Electronics,Laptop,73.89
P0082,Administration Kitchen,Home,Kitchen,81.3
P0083,Interest Education,Books,Education,495.4
P0084,Ready Comics,Books,Comics,255.77
P0085,Four Comics,Books,Comics,484.37
P0086,Actually Mobile,Electronics,Mobile,330.51
P0087,Improve Kitchen,Home,Kitchen,26.93
P0088,Difference Education,Books,Education,218.08
P0089,Low Mobile,Electronics,Mobile,257.78
P0090,Discussion Women,Clothing,Women,234.22
P0091,Attorney Women,Clothing,Women,243.97
P0092,Really Furniture,Home,Furniture,47.5
P0093,Teacher Women,Clothing,Women,230.39
P0094,Family Kids,Clothing,Kids,240.7
P0095,Rate Comics,Books,Comics,162.86
P0096,Price Kitchen,Home,Kitchen,61.97
P0097,Home Decor,Home,Decor,401.02
P0098,Animal Kids,Clothing,Kids,84.27
P0099,Audience Education,Books,Education,205.5
P0100,Value Men,Clothing,Men,218.91
P0101,Discover Accessories,Electronics,Accessories,102.68
P0102,  item education  ,Books,Education,111.32
P0103,Fish Decor,Home,Decor,35.97
P0104,Speak Accessories,Electronics,Accessories,166.36
P0105,Place Fiction,Books,Fiction,432.01
P0106,Money Decor,Home,Decor,199.31
P0107,Blue Laptop,Electronics,Laptop,231.64
P0108,Seem Kids,Clothing,Kids,152.24
P0109,Not Accessories,Electronics,Accessories,63.34
P0110,Strong Kitchen,Home,Kitchen,348.25
P0111,Win Education,Books,Education,289.53
P0112,To Fiction,Books,Fiction,271.0
P0113,Outside Kids,Clothing,Kids,147.97
P0114,Congress Women,Clothing,Women,311.61
P0115,Enter Kitchen,Home,Kitchen,101.59
P0116,Beyond Comics,Books,Comics,250.01
P0117,Plan Education,Books,Education,224.71
P0118,Garden Men,Clothing,Men,398.96
P0119,Program Women,Clothing,Women,116.3
P0120,Same Kitchen,Home,Kitchen,285.0
P0121,Important Comics,Books,Comics,288.49
P0122,Resource Decor,Home,Decor,186.6
P0123,Window Accessories,Electronics,Accessories,113.18
P0124,Spend Fiction,Books,Fiction,328.57
P0125,Rule Women,Clothing,Women,20.95
P0126,Cell Furniture,Home,Furniture,48.06
P0127,Go Mobile,Electronics,Mobile,370.12
P0128,Continue Decor,Home,Decor,216.94
P0129,Prove Men,Clothing,Men,403.69
P0130,Sort Decor,Home,Decor,271.69
P0131,Usually Decor,Home,Decor,288.5
P0132,Rise Mobile,Electronics,Mobile,393.92
P0133,Friend Laptop,Electronics,Laptop,67.81
P0134,Today Men,Clothing,Men,164.44
P0135,Reflect Kids,Clothing,Kids,75.37
P0136,Meet Decor,Home,Decor,228.74
P0137,Author Laptop,Electronics,Laptop,142.72
P0138,Government Furniture,Home,Furniture,167.01
P0139,Affect Accessories,Electronics,Accessories,486.21
P0140,Politics Kitchen,Home,Kitchen,201.87
P0141,Which Fiction,Books,Fiction,164.82
P0142,Pay Furniture,Home,Furniture,69.64
P0143,List Education,Books,Education,382.32
P0144,Idea Mobile,Electronics,Mobile,419.17
P0145,Much Mobile,Electronics,Mobile,83.2
P0146,Push Fiction,Books,Fiction,216.76
P0147,Site Kids,Clothing,Kids,437.84
P0148,Early Kitchen,Home,Kitchen,128.94
P0149,Most Decor,Home,Decor,86.93
P0150,People Comics,Books,Comics,351.22
P0151,Sea Women,Clothing,Women,353.33
P0152,Add Mobile,Electronics,Mobile,70.69
P0153,Early Kids,Clothing,Kids,9.6
P0154,Against Kitchen,Home,Kitchen,214.05
P0155,Practice Women,Clothing,Women,194.62
P0156,Song Mobile,Electronics,Mobile,441.09
P0157,Watch Women,Clothing,Women,377.81
P0158,Capital Kids,Clothing,Kids,75.71
P0159,For Accessories,Electronics,Accessories,222.85
P0160,Economic Kids,Clothing,Kids,460.35
P0161,Sing Fiction,Books,Fiction,54.73
P0162,Later Accessories,Electronics,Accessories,179.01
P0163,Sometimes Education,Books,Education,127.65
P0164,Either Mobile,Electronics,Mobile,302.0
P0165,  president decor  ,Home,Decor,424.3
P0166,Base Kitchen,Home,Kitchen,257.21
P0167,As Education,Books,Education,392.98
P0168,Certain Women,Clothing,Women,124.34
P0169,House Accessories,Electronics,Accessories,10.97
P0170,Moment Furniture,Home,Furniture,431.1
P0171,Fine Education,Books,Education,90.52
P0172,  defense fiction  ,Books,Fiction,38.43
P0173,Civil Kitchen,Home,Kitchen,34.93
P0174,How Comics,Books,Comics,357.75
P0175,Democratic Education,Books,Education,45.8
P0176,Quality Women,Clothing,Women,44.12
P0177,Always Men,Clothing,Men,198.41
P0178,Economy Laptop,Electronics,Laptop,366.33
P0179,Wind Men,Clothing,Men,462.69
P0180,Share Laptop,Electronics,Laptop,32.24
P0181,  piece men  ,Clothing,Men,72.92
P0182,Young Mobile,Electronics,Mobile,176.62
P0183,Life Kitchen,Home,Kitchen,376.14
P0184,Single Decor,Home,Decor,386.86
P0185,Understand Laptop,Electronics,Laptop,139.63
P0186,Get Laptop,Electronics,Laptop,290.44
P0187,Center Laptop,Electronics,Laptop,183.26
P0188,Fall Comics,Books,Comics,82.87
P0189,Friend Accessories,Electronics,Accessories,62.09
P0190,Quickly Mobile,Electronics,Mobile,11.08
P0191,Stop Laptop,Electronics,Laptop,460.51
P0192,Soon Men,Clothing,Men,457.4
P0193,Among Fiction,Books,Fiction,211.05
P0194,Near Furniture,Home,Furniture,287.91
P0195,Strong Accessories,Electronics,Accessories,31.07
P0196,Join Kids,Clothing,Kids,477.27
P0197,Raise Laptop,Electronics,Laptop,387.9
P0198,Tax Furniture,Home,Furniture,231.09
P0199,Fight Kitchen,Home,Kitchen,393.33
P0200,Social Women,Clothing,Women,486.07
P0201,Agent Kids,Clothing,Kids,381.44
P0202,  drop men  ,Clothing,Men,207.97
P0203,Throw Kids,Clothing,Kids,420.59
P0204,  significant laptop  ,Electronics,Laptop,330.37
P0205,Glass Kitchen,Home,Kitchen,491.64
P0206,Guess Education,Books,Education,486.42
P0207,Eight Kids,Clothing,Kids,26.73
P0208,Describe Kids,Clothing,Kids,448.31
P0209,Notice Comics,Books,Comics,52.31
P0210,Arm Kids,Clothing,Kids,42.04
P0211,What Laptop,Electronics,Laptop,69.7
P0212,Whose Furniture,Home,Furniture,463.39
P0213,Red Comics,Books,Comics,166.49
P0214,Energy Education,Books,Education,472.06
P0215,Suddenly Kids,Clothing,Kids,57.3
P0216,Right Education,Books,Education,64.76
P0217,Safe Kitchen,Home,Kitchen,234.36
P0218,Serve Mobile,Electronics,Mobile,344.6
P0219,Doctor Mobile,Electronics,Mobile,167.26
P0220,Political Accessories,Electronics,Accessories,181.09
P0221,Turn Accessories,Electronics,Accessories,410.94
P0222,I Men,Clothing,Men,428.03
P0223,Near Men,Clothing,Men,402.93
P0224,  fund men  ,Clothing,Men,416.03
P0225,Cover Men,Clothing,Men,203.29
P0226,Letter Accessories,Electronics,Accessories,459.13
P0227,Professional Mobile,Electronics,Mobile,102.89
P0228,According Fiction,Books,Fiction,424.4
P0229,Attention Kitchen,Home,Kitchen,233.19
P0230,True Kids,Clothing,Kids,363.59
P0231,Million Fiction,Books,Fiction,216.2
P0232,Available Kitchen,Home,Kitchen,141.12
P0233,Data Fiction,Books,Fiction,311.49
P0234,Area Kids,Clothing,Kids,208.94
P0235,Protect Fiction,Books,Fiction,194.59
P0236,Chance Fiction,Books,Fiction,399.61
P0237,Writer Kids,Clothing,Kids,274.11
P0238,Democratic Laptop,Electronics,Laptop,182.76
P0239,Car Education,Books,Education,253.68
P0240,Benefit Education,Books,Education,162.84
P0241,Consumer Men,Clothing,Men,390.38
P0242,Person Laptop,Electronics,Laptop,384.59
P0243,Often Men,Clothing,Men,330.15
P0244,Theory Decor,Home,Decor,459.04
P0245,Stuff Mobile,Electronics,Mobile,491.42
P0246,Work Education,Books,Education,495.81
P0247,Democratic Men,Clothing,Men,162.41
P0248,  eat decor  ,Home,Decor,351.78
P0249,Movement Kids,Clothing,Kids,419.16
P0250,Bar Comics,Books,Comics,247.77
P0251,Last Mobile,Electronics,Mobile,113.31
P0252,Share Fiction,Books,Fiction,309.0
P0253,Manage Women,Clothing,Women,459.8
P0254,  foreign kitchen  ,Home,Kitchen,295.37
P0255,Community Men,Clothing,Men,431.03
P0256,Set Laptop,Electronics,Laptop,332.76
P0257,Decade Laptop,Electronics,Laptop,72.54
P0258,Election Kids,Clothing,Kids,396.96
P0259,Language Comics,Books,Comics,355.06
P0260,Control Kitchen,Home,Kitchen,408.15
P0261,Police Education,Books,Education,150.79
P0262,  energy kids  ,Clothing,Kids,352.49
P0263,Floor Comics,Books,Comics,303.18
P0264,Feeling Kids,Clothing,Kids,468.66
P0265,Part Women,Clothing,Women,122.81
P0266,List Kitchen,Home,Kitchen,481.72
P0267,  prove furniture  ,Home,Furniture,108.79
P0268,Defense Laptop,Electronics,Laptop,58.48
P0269,Expert Mobile,Electronics,Mobile,367.63
P0270,Travel Women,Clothing,Women,192.46
P0271,Station Fiction,Books,Fiction,395.42
P0272,Medical Men,Clothing,Men,400.6
P0273,  base laptop  ,Electronics,Laptop,134.26
P0274,Here Mobile,Electronics,Mobile,444.53
P0275,Information Kids,Clothing,Kids,471.21
P0276,Huge Laptop,Electronics,Laptop,308.75
P0277,Computer Comics,Books,Comics,471.51
P0278,Market Kids,Clothing,Kids,82.77
P0279,Let Laptop,Electronics,Laptop,99.04
P0280,Knowledge Decor,Home,Decor,122.59
P0281,Mouth Laptop,Electronics,Laptop,420.73
P0282,Poor Men,Clothing,Men,216.66
P0283,Simple Decor,Home,Decor,242.76
P0284,Lead Mobile,Electronics,Mobile,320.9
P0285,Soon Laptop,Electronics,Laptop,157.63
P0286,Clearly Education,Books,Education,332.21
P0287,Ten Accessories,Electronics,Accessories,96.52
P0288,Student Education,Books,Education,27.09
P0289,Meet Education,Books,Education,419.35
P0290,Again Mobile,Electronics,Mobile,335.4
P0291,Sound Accessories,Electronics,Accessories,273.02
P0292,I Kids,Clothing,Kids,196.62
P0293,Late Comics,Books,Comics,468.5
P0294,Too Women,Clothing,Women,200.43
P0295,Because Accessories,Electronics,Accessories,260.82
P0296,Song Men,Clothing,Men,227.27
P0297,What Men,Clothing,Men,67.46
P0298,Will Fiction,Books,Fiction,220.52
P0299,First Kids,Clothing,Kids,455.85
P0300,Physical Mobile,Electronics,Mobile,201.69
P0301,Note Furniture,Home,Furniture,459.0
P0302,Claim Accessories,Electronics,Accessories,263.67
P0303,On Fiction,Books,Fiction,78.36
P0304,Short Mobile,Electronics,Mobile,54.99
P0305,Continue Decor,Home,Decor,439.56
P0306,Even Furniture,Home,Furniture,288.15
P0307,Husband Fiction,Books,Fiction,204.47
P0308,Major Fiction,Books,Fiction,440.08
P0309,Follow Men,Clothing,Men,460.81
P0310,Long Kitchen,Home,Kitchen,397.86
P0311,Federal Furniture,Home,Furniture,429.83
P0312,How Mobile,Electronics,Mobile,487.24
P0313,Or Education,Books,Education,211.3
P0314,Police Mobile,Electronics,Mobile,457.15
P0315,Medical Comics,Books,Comics,260.67
P0316,Away Kitchen,Home,Kitchen,83.69
P0317,Goal Decor,Home,Decor,72.15
P0318,Century Mobile,Electronics,Mobile,417.3
P0319,Senior Mobile,Electronics,Mobile,30.03
P0320,Manager Decor,Home,Decor,187.33
P0321,Deal Comics,Books,Comics,461.92
P0322,Clear Mobile,Electronics,Mobile,299.05
P0323,Whom Women,Clothing,Women,178.13
P0324,Customer Women,Clothing,Women,345.98
P0325,Above Kitchen,Home,Kitchen,85.64
P0326,Add Men,Clothing,Men,340.46
P0327,Training Decor,Home,Decor,14.93
P0328,Month Laptop,Electronics,Laptop,325.45
P0329,Show Mobile,Electronics,Mobile,403.52
P0330,Share Decor,Home,Decor,323.16
P0331,House Education,Books,Education,232.2
P0332,Million Women,Clothing,Women,262.72
P0333,Interview Comics,Books,Comics,258.2
P0334,Wish Decor,Home,Decor,306.48
P0335,Just Decor,Home,Decor,36.6
P0336,Yard Decor,Home,Decor,142.06
P0337,Indicate Kitchen,Home,Kitchen,383.91
P0338,Situation Accessories,Electronics,Accessories,163.19
P0339,  hour kids  ,Clothing,Kids,251.2
P0340,If Furniture,Home,Furniture,205.28
P0341,Might Accessories,Electronics,Accessories,288.16
P0342,Foot Women,Clothing,Women,115.07
P0343,Put Comics,Books,Comics,153.6
P0344,Per Kids,Clothing,Kids,94.66
P0345,Avoid Laptop,Electronics,Laptop,133.03
P0346,Issue Kids,Clothing,Kids,328.95
P0347,Value Women,Clothing,Women,436.36
P0348,American Education,Books,Education,294.86
P0349,Will Fiction,Books,Fiction,433.86
P0350,Capital Laptop,Electronics,Laptop,252.74
P0351,Image Comics,Books,Comics,31.76
P0352,Work Men,Clothing,Men,174.62
P0353,Others Fiction,Books,Fiction,359.26
P0354,Commercial Laptop,Electronics,Laptop,493.39
P0355,Daughter Decor,Home,Decor,228.77
P0356,Source Men,Clothing,Men,83.43
P0357,Least Mobile,Electronics,Mobile,318.58
P0358,Especially Education,Books,Education,194.74
P0359,Spend Accessories,Electronics,Accessories,189.69
P0360,White Laptop,Electronics,Laptop,267.86
P0361,  society accessories  ,Electronics,Accessories,368.13
P0362,Seven Kids,Clothing,Kids,159.49
P0363,Happen Laptop,Electronics,Laptop,156.53
P0364,Mr Mobile,Electronics,Mobile,148.96
P0365,Security Furniture,Home,Furniture,497.76
P0366,Middle Furniture,Home,Furniture,98.27
P0367,Prove Fiction,Books,Fiction,364.95
P0368,Risk Men,Clothing,Men,296.9
P0369,Home Men,Clothing,Men,327.02
P0370,Same Laptop,Electronics,Laptop,131.62
P0371,Article Accessories,Electronics,Accessories,332.68
P0372,Rather Mobile,Electronics,Mobile,211.3
P0373,Image Fiction,Books,Fiction,239.83
P0374,With Men,Clothing,Men,317.0
P0375,Language Furniture,Home,Furniture,332.93
P0376,Simply Decor,Home,Decor,72.9
P0377,Employee Accessories,Electronics,Accessories,63.28
P0378,Eight Mobile,Electronics,Mobile,306.46
P0379,Mean Decor,Home,Decor,182.17
P0380,Already Education,Books,Education,276.33
P0381,Will Kids,Clothing,Kids,168.65
P0382,Tax Mobile,Electronics,Mobile,453.91
P0383,High Fiction,Books,Fiction,390.87
P0384,Program Accessories,Electronics,Accessories,452.87
P0385,Seat Women,Clothing,Women,151.53
P0386,Require Fiction,Books,Fiction,91.48
P0387,Ahead Laptop,Electronics,Laptop,340.0
P0388,Save Comics,Books,Comics,426.37
P0389,Reduce Mobile,Electronics,Mobile,333.36
P0390,Quite Women,Clothing,Women,221.67
P0391,Choose Decor,Home,Decor,408.41
P0392,Every Men,Clothing,Men,481.34
P0393,Point Furniture,Home,Furniture,241.73
P0394,Lose Comics,Books,Comics,87.56
P0395,Yet Kids,Clothing,Kids,490.88
P0396,Responsibility Men,Clothing,Men,297.42
P0397,Choice Fiction,Books,Fiction,390.69
P0398,Environmental Accessories,Electronics,Accessories,365.0
P0399,End Women,Clothing,Women,60.9
P0400,Play Education,Books,Education,134.5
P0401,Particular Kitchen,Home,Kitchen,340.57
P0402,Recognize Kids,Clothing,Kids,261.95
P0403,Thought Laptop,Electronics,Laptop,128.05
P0404,Color Decor,Home,Decor,195.51
P0405,Actually Mobile,Electronics,Mobile,82.68
P0406,But Education,Books,Education,42.06
P0407,Spend Education,Books,Education,485.22
P0408,Best Accessories,Electronics,Accessories,323.44
P0409,Quickly Fiction,Books,Fiction,224.87
P0410,Seek Fiction,Books,Fiction,226.3
P0411,Whom Laptop,Electronics,Laptop,13.8
P0412,If Education,Books,Education,276.8
P0413,Information Accessories,Electronics,Accessories,320.58
P0414,Seat Kids,Clothing,Kids,475.43
P0415,Peace Kitchen,Home,Kitchen,422.94
P0416,Wear Decor,Home,Decor,301.98
P0417,Be Decor,Home,Decor,53.23
P0418,National Men,Clothing,Men,415.79
P0419,Where Decor,Home,Decor,352.54
P0420,Current Mobile,Electronics,Mobile,411.81
P0421,Under Fiction,Books,Fiction,101.98
P0422,Land Laptop,Electronics,Laptop,413.15
P0423,Company Kids,Clothing,Kids,379.79
P0424,Themselves Accessories,Electronics,Accessories,296.46
P0425,Late Education,Books,Education,478.31
P0426,  entire women  ,Clothing,Women,369.43
P0427,Role Comics,Books,Comics,256.62
P0428,Five Kids,Clothing,Kids,366.59
P0429,Month Men,Clothing,Men,302.27
P0430,No Decor,Home,Decor,212.24
P0431,Reason Women,Clothing,Women,174.72
P0432,Various Furniture,Home,Furniture,73.4
P0433,Idea Decor,Home,Decor,160.39
P0434,Peace Men,Clothing,Men,358.62
P0435,Foot Decor,Home,Decor,356.65
P0436,Similar Kids,Clothing,Kids,320.25
P0437,Its Laptop,Electronics,Laptop,293.49
P0438,Soldier Comics,Books,Comics,421.49
P0439,Under Furniture,Home,Furniture,263.75
P0440,Window Laptop,Electronics,Laptop,336.78
P0441,Should Women,Clothing,Women,84.66
P0442,True Decor,Home,Decor,420.49
P0443,Behind Kitchen,Home,Kitchen,20.99
P0444,Boy Fiction,Books,Fiction,339.39
P0445,Provide Kids,Clothing,Kids,197.5
P0446,Page Decor,Home,Decor,463.61
P0447,Standard Education,Books,Education,488.03
P0448,Subject Decor,Home,Decor,373.12
P0449,Guy Kids,Clothing,Kids,430.92
P0450,Teach Fiction,Books,Fiction,353.79
P0451,Character Decor,Home,Decor,303.68
P0452,Exist Women,Clothing,Women,491.81
P0453,Smile Mobile,Electronics,Mobile,368.86
P0454,Determine Laptop,Electronics,Laptop,143.16
P0455,Wonder Kitchen,Home,Kitchen,423.78
P0456,Smile Laptop,Electronics,Laptop,469.06
P0457,Information Mobile,Electronics,Mobile,300.46
P0458,Say Furniture,Home,Furniture,277.33
P0459,Foot Accessories,Electronics,Accessories,113.88
P0460,According Kids,Clothing,Kids,255.04
P0461,Concern Comics,Books,Comics,50.51
P0462,Team Men,Clothing,Men,168.88
P0463,Million Kitchen,Home,Kitchen,311.05
P0464,Ability Comics,Books,Comics,490.66
P0465,Bill Mobile,Electronics,Mobile,225.61
P0466,Available Men,Clothing,Men,163.86
P0467,Staff Laptop,Electronics,Laptop,363.37
P0468,Same Accessories,Electronics,Accessories,190.6
P0469,Key Education,Books,Education,449.65
P0470,Network Women,Clothing,Women,474.36
P0471,Keep Kids,Clothing,Kids,315.33
P0472,Real Kids,Clothing,Kids,110.52
P0473,Fight Fiction,Books,Fiction,415.23
P0474,Significant Comics,Books,Comics,40.7
P0475,Lawyer Men,Clothing,Men,169.2
P0476,Conference Mobile,Electronics,Mobile,398.14
P0477,Control Accessories,Electronics,Accessories,455.94
P0478,House Education,Books,Education,205.2
P0479,Cultural Kitchen,Home,Kitchen,63.56
P0480,Score Accessories,Electronics,Accessories,36.3
P0481,Center Accessories,Electronics,Accessories,182.06
P0482,Decade Laptop,Electronics,Laptop,154.17
P0483,Message Laptop,Electronics,Laptop,221.65
P0484,Court Comics,Books,Comics,82.38
P0485,Morning Men,Clothing,Men,399.4
P0486,Break Decor,Home,Decor,340.26
P0487,Little Kitchen,Home,Kitchen,279.76
P0488,  our mobile  ,Electronics,Mobile,300.34
P0489,Teach Laptop,Electronics,Laptop,372.01
P0490,Difference Kitchen,Home,Kitchen,324.74
P0491,Cultural Men,Clothing,Men,310.36
P0492,Deep Kitchen,Home,Kitchen,337.13
P0493,Artist Accessories,Electronics,Accessories,277.08
P0494,So Decor,Home,Decor,53.61
P0495,Cover Education,Books,Education,337.29
P0496,Table Men,Clothing,Men,39.56
P0497,Song Women,Clothing,Women,167.53
P0498,Dark Decor,Home,Decor,284.95
P0499,Event Furniture,Home,Furniture,88.48
P0500,Week Kitchen,Home,Kitchen,357.54
